name,price,stars,rating_count,variant_data,asin,review_title,review_text,review_rating,Total_reviews
"        HP Victus Gaming Laptop AMD Ryzen™ 7 7840HS, 40.9 cm (16.1inch) FHD (1920 x 1080), 144 Hz (16GB, 1TB) NVIDIA® GeForce RTX 3050 6GB Graphics, Win 11, B&O 16-s0094AX       ","84,990",4.3 out of 5 stars,,"{""B09LM3RZ1Q"":[""Mica Silver""],""B0CDG6TM66"":[""Performance Blue""],""B0C9JQCWFB"":[""Peformance Blue""]}",B0C9JQCWFB,One of the Best Budget Gaming Laptop,"i bought this laptop at the price of 80499 before 2 months . ONE OF THE GOAT BUDGET GAMING LAPTOP . everything is inch perfect at this price range .everyone is searching for drawbacks,sound is low .... the one and only think that i feel down in my 2 month of use . i bought this for architectural designing . heavy use since i bought to now . but no problem , no heat issue , or any other thinnks.... loved it very much tilll now .trust me guys the wobling is not an issue..... we don't feel it while using...if you are searching for a high spec budget gaming laptop GO FOR IT  , DON'T THINK TWICE...",5.0,
"        HP Victus Gaming Laptop AMD Ryzen™ 7 7840HS, 40.9 cm (16.1inch) FHD (1920 x 1080), 144 Hz (16GB, 1TB) NVIDIA® GeForce RTX 3050 6GB Graphics, Win 11, B&O 16-s0094AX       ","84,990",4.3 out of 5 stars,,"{""B09LM3RZ1Q"":[""Mica Silver""],""B0CDG6TM66"":[""Performance Blue""],""B0C9JQCWFB"":[""Peformance Blue""]}",B0C9JQCWFB,Recommended product!,"The laptop is a beast. Tremendous performance and true gaming laptop. The specs which I got are:Ryzen 7840HS processor, 16 GB DDR5 RAM, 1 TB SSD and 6 GB RTX 3050 GPU, which runs ANY current age game I have installed to satisfaction.Some myths to burst:1. There is no wobbling as advertised earlier by some users.2. Heating is not an issue. Its optimal as expected. I use a stand with in built fan anyways, just in case, but without it as well, its not a major concern.Yet to come up with any cons. Working flawlessly for the last couple of days. Delivery and packaging was also excellent.",5.0,
"        HP Victus Gaming Laptop AMD Ryzen™ 7 7840HS, 40.9 cm (16.1inch) FHD (1920 x 1080), 144 Hz (16GB, 1TB) NVIDIA® GeForce RTX 3050 6GB Graphics, Win 11, B&O 16-s0094AX       ","84,990",4.3 out of 5 stars,,"{""B09LM3RZ1Q"":[""Mica Silver""],""B0CDG6TM66"":[""Performance Blue""],""B0C9JQCWFB"":[""Peformance Blue""]}",B0C9JQCWFB,There will be some heating,"I changed many settings and locked my fps at 60 of RDR2 , Assassin's creed oddessy , Days gone (70 fps locked) to bring down the CPU temperature From 101°c to 85°c.. other than this there will be some wobbling but for me it's unnoticeable...",4.0,
"        HP Victus Gaming Laptop AMD Ryzen™ 7 7840HS, 40.9 cm (16.1inch) FHD (1920 x 1080), 144 Hz (16GB, 1TB) NVIDIA® GeForce RTX 3050 6GB Graphics, Win 11, B&O 16-s0094AX       ","84,990",4.3 out of 5 stars,,"{""B09LM3RZ1Q"":[""Mica Silver""],""B0CDG6TM66"":[""Performance Blue""],""B0C9JQCWFB"":[""Peformance Blue""]}",B0C9JQCWFB,Shashank,The product is excellent.,5.0,
"        HP Victus Gaming Laptop AMD Ryzen™ 7 7840HS, 40.9 cm (16.1inch) FHD (1920 x 1080), 144 Hz (16GB, 1TB) NVIDIA® GeForce RTX 3050 6GB Graphics, Win 11, B&O 16-s0094AX       ","84,990",4.3 out of 5 stars,,"{""B09LM3RZ1Q"":[""Mica Silver""],""B0CDG6TM66"":[""Performance Blue""],""B0C9JQCWFB"":[""Peformance Blue""]}",B0C9JQCWFB,"If you're okay with a wobbly display, then this laptop is a phenomenal purchase.","Bought HP Victus 16-0351AX for 81,990 INR on 26.03.22The seller was Appario and the delivery was fulfilled by Amazon. Extensive packaging, fast (less than 48hrs) and safe delivery.Cons:1) The YouTubers were right when they said the display wobbles. My high-speed ceiling fan was enough to make it wobble. If that's a deal breaker for you, skip the Victus lineup.2) The display rendered colours too warmly. White web pages were rendered cream-coloured. This isn't a problem cuz we could calibrate it ourselves from the display settings, but it's odd that this wasn't done out of the box.3) The backlight on the keyboard is blindingly bright. I couldn't find any option to adjust the brightness.4) The battery life is mediocre. Need to charge it at least twice a day if you're gonna spend most of your waking hours on it.Pros:1) The specification on both Amazon and HP's websites claimed this specific model (16-0351AX) had the RTX 3050 GPU. But the one I got was the RTX 3050 ti (the more powerful version of the 3050).2) The keyboard has a clean style (I like the font of the letters on the keys) and is well spaced. Good tactile feedback. The touchpad is large, smooth, and functional.3) The processor, Ryzen 7 5800H, is unbelievably powerful. Did some light gaming (Football Manager 2021, and Counter Strike: Global Offensive). Checked HP's built-in Omen software to see how the GPU, CPU, and RAM were faring. The GPU (avg around 45°C) and RAM were at 50%, but the CPU was barely troubled (around 10-15%, avg around 38°C). Unbelievably powerful. The thermals are designed well, nothing got too hot. The fans are set to 'auto', and I could barely hear them. They're pretty quiet and non-intrusive. I toggled the fan speed to 'Max' from HP's Omen settings just to check if they run. When set to max, they're loud and powerful enough to be used as a table fan.I intend to play more demanding games, will update this review after a while.4) HP's calling this the Mica Silver colour. It's matte black. They should just call it matte black. It's neat, understated, and minimalistic. When most gaming laptops look like they're part of the traffic signal lights, you can carry this variant to business meetings and not look like a clown.5) Comes with Microsoft Office 2019. I wasted a few minutes looking for a product key on the laptop and its packaging. But that's not necessary. Just open the Microsoft Word application and it'll auto-verify the in-built product key.6) The anti-reflective coating on the display is great.7) The 512GB SSD here is fast. There's a vacant NVME slot in the laptop too, so can add another 512GB SSD if necessary.8) HP collaborated with Dropbox to give 100gb free cloud storage for a year for those who bought this laptop.",4.0,
"        HP Victus Gaming Laptop AMD Ryzen™ 7 7840HS, 40.9 cm (16.1inch) FHD (1920 x 1080), 144 Hz (16GB, 1TB) NVIDIA® GeForce RTX 3050 6GB Graphics, Win 11, B&O 16-s0094AX       ","84,990",4.3 out of 5 stars,,"{""B09LM3RZ1Q"":[""Mica Silver""],""B0CDG6TM66"":[""Performance Blue""],""B0C9JQCWFB"":[""Peformance Blue""]}",B0C9JQCWFB,"Good laptop for 1080p gaming but not on ultra, it will hit its VRAM limits","This is the only review you all need to come across.Build and Design - The build quality is good, and the materials used are fine. There is some flex at the center of the keyboard but nothing major. The design is very understated and looks clean in my opinion. The screen wobbles but not as much to render it unusable. The HDMI port connects directly to the NVIDIA graphics, bypassing OptimusScreen - Do yourself a favor and spend a little extra for the 100%srgb variant of the display, you will seriously thank your eyes. The display is very nice with good colors and solid brightness. The 250 nits variant will disappoint you guys, it's not *just* 50 nits less than the 300 nits variant. Nit count is not linear, it's logarithmic. The display out of the box had a slightly yellow tinge but than can easily be fixed in the AMD software.Performance and thermals - The R7 5800H does not break a sweat no matter what you throw at it. It's so darn fast that it almost bottlenecks the RTX 3050. In other words, the RTX 3050 would be sweating at 100% usage while the r7 5800h would be chilling at 25% usage. Talking about thermals, the CPU does reach 100 degrees Celcius if you are playing a demanding game(Ryzen chips go up to 105 degrees) but it's nothing to worry about. The WASD area stays cool. The fans will make noise and if you are in a quiet environment, I would recommend a pair of headphones for a better experience.Battery Life - Don't expect wonders here, 4-5 hours on light usage. Maybe 6 hours if you change it to 60hz but nothing too special.Some things I did not like: 1. The bottom bezel could have been smaller 2. The keyboard backlight is blindingly bright, there is no option to toggle the brightness of those LEDs, It's just on or off. 3. 2 USB ports on the right side 4. It's heavy (but that's subjective)Software Included - MS Office 2021 [Lifetime] Dropbox 100GB [1 year] ExpressVPN [1 month] AlexaAll in all, a solid laptop. 8.5/10",5.0,
"        HP Victus Gaming Laptop AMD Ryzen™ 7 7840HS, 40.9 cm (16.1inch) FHD (1920 x 1080), 144 Hz (16GB, 1TB) NVIDIA® GeForce RTX 3050 6GB Graphics, Win 11, B&O 16-s0094AX       ","84,990",4.3 out of 5 stars,,"{""B09LM3RZ1Q"":[""Mica Silver""],""B0CDG6TM66"":[""Performance Blue""],""B0C9JQCWFB"":[""Peformance Blue""]}",B0C9JQCWFB,Great purchase,Brought this for 75k and using for almost 1 year. Totally satisfied with laptop and with hp.,5.0,
"        HP Victus Gaming Laptop AMD Ryzen™ 7 7840HS, 40.9 cm (16.1inch) FHD (1920 x 1080), 144 Hz (16GB, 1TB) NVIDIA® GeForce RTX 3050 6GB Graphics, Win 11, B&O 16-s0094AX       ","84,990",4.3 out of 5 stars,,"{""B09LM3RZ1Q"":[""Mica Silver""],""B0CDG6TM66"":[""Performance Blue""],""B0C9JQCWFB"":[""Peformance Blue""]}",B0C9JQCWFB,Battery backup,Battery backup is only 3 hours and the laptop is very heavy,3.0,
"        HP Victus Gaming Laptop AMD Ryzen™ 7 7840HS, 40.9 cm (16.1inch) FHD (1920 x 1080), 144 Hz (16GB, 1TB) NVIDIA® GeForce RTX 3050 6GB Graphics, Win 11, B&O 16-s0094AX       ","84,990",4.3 out of 5 stars,,"{""B09LM3RZ1Q"":[""Mica Silver""],""B0CDG6TM66"":[""Performance Blue""],""B0C9JQCWFB"":[""Peformance Blue""]}",B0C9JQCWFB,Super performance,super performance but very heavy,4.0,
"        HP Victus Gaming Laptop AMD Ryzen™ 7 7840HS, 40.9 cm (16.1inch) FHD (1920 x 1080), 144 Hz (16GB, 1TB) NVIDIA® GeForce RTX 3050 6GB Graphics, Win 11, B&O 16-s0094AX       ","84,990",4.3 out of 5 stars,,"{""B09LM3RZ1Q"":[""Mica Silver""],""B0CDG6TM66"":[""Performance Blue""],""B0C9JQCWFB"":[""Peformance Blue""]}",B0C9JQCWFB,Good product,Ok thanks for good service,4.0,
